country,points,price,variety
US,96,235.0,Cabernet Sauvignon
Spain,96,110.0,Tinta de Toro
US,96,90.0,Sauvignon Blanc
US,96,65.0,Pinot Noir
France,95,66.0,Provence red blend
Spain,95,73.0,Tinta de Toro
Spain,95,65.0,Tinta de Toro
Spain,95,110.0,Tinta de Toro
US,95,65.0,Pinot Noir
US,95,60.0,Pinot Noir
Italy,95,80.0,Friulano
US,95,48.0,Pinot Noir
US,95,48.0,Pinot Noir
France,95,90.0,Tannat
US,95,185.0,Pinot Noir
US,95,90.0,Chardonnay
US,95,325.0,Cabernet Sauvignon
Spain,95,80.0,Tempranillo
France,95,290.0,Malbec
US,95,75.0,Pinot Noir
US,95,24.0,Rosé
Spain,95,79.0,Tempranillo Blend
Spain,95,220.0,Tinta de Toro
US,95,60.0,Chardonnay
US,95,45.0,Pinot Noir
New Zealand,94,57.0,Chardonnay
US,94,62.0,Pinot Noir
US,94,105.0,Pinot Noir
US,94,60.0,Pinot Noir
US,94,60.0,Syrah
Bulgaria,90,15.0,Mavrud
US,90,37.0,Chardonnay
France,90,22.0,Sparkling Blend
US,90,42.0,Chardonnay
Italy,90,135.0,Sangiovese
France,90,60.0,Rhône-style White Blend
Italy,90,29.0,Sangiovese
Italy,90,23.0,Sangiovese
Italy,90,29.0,Red Blend
Spain,90,17.0,Mencía
Spain,90,26.0,Palomino
US,90,55.0,Petite Sirah
Italy,90,39.0,Red Blend
France,90,69.0,Syrah
Italy,90,30.0,Red Blend
Italy,90,90.0,Sangiovese
US,90,60.0,Cabernet Sauvignon
Italy,90,50.0,Sangiovese
US,90,40.0,Cabernet Sauvignon
Italy,90,100.0,Sangiovese
France,90,68.0,Chardonnay
France,90,42.0,Sauvignon Blanc
France,90,28.0,Pinot Noir
US,90,18.0,Chardonnay
US,90,69.0,Cabernet Sauvignon
US,90,25.0,Riesling
US,90,30.0,Cabernet Sauvignon-Syrah
Italy,90,60.0,Red Blend
Argentina,91,30.0,Malbec
Australia,91,36.0,Pinot Noir
Argentina,91,25.0,Malbec
France,91,45.0,Chardonnay
Portugal,91,23.0,Portuguese Red
US,91,36.0,Syrah
France,91,38.0,Chardonnay
US,91,85.0,Cabernet Sauvignon
US,91,50.0,Pinot Noir
US,91,60.0,Cabernet Sauvignon
US,91,85.0,Cabernet Sauvignon
US,91,45.0,Pinot Noir
US,91,19.0,Pinot Gris
Portugal,91,15.0,Portuguese Red
US,91,54.0,Pinot Noir
France,91,85.0,Chardonnay
US,91,38.0,Sauvignon Blanc
US,91,28.0,Cabernet Sauvignon
Italy,91,75.0,Nebbiolo
US,91,42.0,Pinot Noir
Israel,91,25.0,Cabernet Sauvignon
Italy,91,59.0,Nebbiolo
Italy,91,85.0,Nebbiolo
Italy,91,80.0,Nebbiolo
France,91,45.0,Chardonnay
US,91,22.0,Cabernet Sauvignon
US,91,65.0,Pinot Noir
US,91,50.0,Meritage
US,86,10.0,Cabernet Sauvignon
Portugal,86,12.0,Baga
Italy,86,22.0,Glera
US,86,13.0,Chardonnay
Portugal,86,10.0,Portuguese Red
France,86,14.0,Malbec-Merlot
US,86,18.0,Chardonnay
US,86,36.0,Cabernet Sauvignon
France,86,15.0,Merlot-Malbec
France,86,10.0,Ugni Blanc-Colombard
US,86,24.0,Viognier
US,86,50.0,Cabernet Sauvignon
Italy,86,45.0,Sangiovese
US,86,48.0,Cabernet Sauvignon-Cabernet Franc
US,86,20.0,Moscato
US,86,17.0,Pinot Grigio
US,86,12.0,Cabernet Franc
US,86,10.0,Chardonnay
US,86,13.0,White Blend
US,86,45.0,Chardonnay
Portugal,86,12.0,Portuguese Red
Argentina,86,12.0,Rosé
US,86,125.0,Cabernet Sauvignon
US,86,25.0,Riesling
South Africa,86,20.0,Sauvignon Blanc
Argentina,86,15.0,Malbec
France,86,20.0,Rosé
France,86,15.0,Gamay
Portugal,86,7.0,Portuguese Red
US,91,59.0,Pinot Noir
US,91,49.0,Pinot Noir
US,91,42.0,Sparkling Blend
US,91,93.0,Chardonnay
US,91,32.0,Pinot Noir
US,91,20.0,Pinot Noir
US,90,100.0,Zinfandel
US,90,50.0,Cabernet Sauvignon
Spain,90,22.0,Tempranillo
Italy,90,45.0,White Blend
Italy,90,18.0,Greco
US,90,45.0,Chardonnay
US,90,26.0,Barbera
US,90,16.0,Chardonnay
US,90,30.0,Cabernet Sauvignon
US,90,42.0,Grenache
US,90,38.0,Zinfandel
US,90,48.0,Rhône-style Red Blend
Spain,90,17.0,Tempranillo
France,90,18.0,Rosé
France,90,15.0,Rosé
US,90,28.0,Sauvignon Blanc
US,90,25.0,Grenache
US,90,26.0,Chardonnay
US,90,24.0,Albariño
US,90,55.0,Pinot Noir
US,90,36.0,Zinfandel
Spain,90,17.0,Albariño
US,90,40.0,Syrah
US,90,28.0,Malvasia Bianca
US,89,50.0,Pinot Noir
